attack,scheme,n,initstate,initseq,success,attack_ms,checked,table_entries
brute,mh-classic,4,16490336266968443936,132297946315314195,1,0.001000,14,0
brute,mh-classic,4,10905525725756348110,16000682456418926275,1,0.001000,16,0
brute,mh-classic,4,10451216379200822465,244725773053885299,1,0.001000,12,0
brute,mh-classic,6,16490336266968443936,132297946315314195,1,0.003000,62,0
brute,mh-classic,6,10905525725756348110,16000682456418926275,1,0.002000,32,0
brute,mh-classic,6,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,8,16490336266968443936,132297946315314195,1,0.003000,62,0
brute,mh-classic,8,10905525725756348110,16000682456418926275,1,0.008000,160,0
brute,mh-classic,8,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,10,16490336266968443936,132297946315314195,1,0.016000,318,0
brute,mh-classic,10,10905525725756348110,16000682456418926275,1,0.035000,672,0
brute,mh-classic,10,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,12,16490336266968443936,132297946315314195,1,0.073000,1342,0
brute,mh-classic,12,10905525725756348110,16000682456418926275,1,0.232000,3744,0
brute,mh-classic,12,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,14,16490336266968443936,132297946315314195,1,0.916000,13630,0
brute,mh-classic,14,10905525725756348110,16000682456418926275,1,0.790000,11936,0
brute,mh-classic,14,10451216379200822465,244725773053885299,1,0.530000,8252,0
brute,mh-classic,16,16490336266968443936,132297946315314195,1,2.104000,30014,0
brute,mh-classic,16,10905525725756348110,16000682456418926275,1,1.966000,28320,0
brute,mh-classic,16,10451216379200822465,244725773053885299,1,2.907000,41020,0
brute,mh-classic,18,16490336266968443936,132297946315314195,1,2.137000,30014,0
brute,mh-classic,18,10905525725756348110,16000682456418926275,1,7.222000,93856,0
brute,mh-classic,18,10451216379200822465,244725773053885299,1,2.970000,41020,0
brute,mh-classic,20,16490336266968443936,132297946315314195,1,70.500000,816446,0
brute,mh-classic,20,10905525725756348110,16000682456418926275,1,29.436000,356000,0
brute,mh-classic,20,10451216379200822465,244725773053885299,1,47.487000,565308,0
brute,mh-classic,22,16490336266968443936,132297946315314195,1,262.950000,2913598,0
brute,mh-classic,22,10905525725756348110,16000682456418926275,1,33.709000,356000,0
brute,mh-classic,22,10451216379200822465,244725773053885299,1,266.997000,2662460,0
mitm,mh-classic,4,16490336266968443936,132297946315314195,1,0.004000,2,8
mitm,mh-classic,4,10905525725756348110,16000682456418926275,1,0.002000,4,8
mitm,mh-classic,4,10451216379200822465,244725773053885299,1,0.002000,5,8
mitm,mh-classic,8,16490336266968443936,132297946315314195,1,0.005000,19,32
mitm,mh-classic,8,10905525725756348110,16000682456418926275,1,0.006000,26,32
mitm,mh-classic,8,10451216379200822465,244725773053885299,1,0.009000,17,32
mitm,mh-classic,12,16490336266968443936,132297946315314195,1,0.022000,108,128
mitm,mh-classic,12,10905525725756348110,16000682456418926275,1,0.020000,86,128
mitm,mh-classic,12,10451216379200822465,244725773053885299,1,0.020000,122,128
mitm,mh-classic,16,16490336266968443936,132297946315314195,1,0.081000,339,512
mitm,mh-classic,16,10905525725756348110,16000682456418926275,1,0.075000,285,512
mitm,mh-classic,16,10451216379200822465,244725773053885299,1,0.079000,343,512
mitm,mh-classic,20,16490336266968443936,132297946315314195,1,0.332000,958,2048
mitm,mh-classic,20,10905525725756348110,16000682456418926275,1,0.328000,1225,2048
mitm,mh-classic,20,10451216379200822465,244725773053885299,1,0.360000,1689,2048
mitm,mh-classic,24,16490336266968443936,132297946315314195,1,1.522000,5099,8192
mitm,mh-classic,24,10905525725756348110,16000682456418926275,1,1.546000,7384,8192
mitm,mh-classic,24,10451216379200822465,244725773053885299,1,1.575000,2926,8192
mitm,mh-classic,28,16490336266968443936,132297946315314195,1,6.693000,16541,32768
mitm,mh-classic,28,10905525725756348110,16000682456418926275,1,6.834000,30141,32768
mitm,mh-classic,28,10451216379200822465,244725773053885299,1,7.031000,15715,32768
mitm,mh-classic,32,16490336266968443936,132297946315314195,1,29.322000,86599,131072
mitm,mh-classic,32,10905525725756348110,16000682456418926275,1,30.002000,111738,131072
mitm,mh-classic,32,10451216379200822465,244725773053885299,1,30.330000,59390,131072
mitm,mh-classic,36,16490336266968443936,132297946315314195,1,132.969000,240357,524288
mitm,mh-classic,36,10905525725756348110,16000682456418926275,1,132.608000,318019,524288
mitm,mh-classic,36,10451216379200822465,244725773053885299,1,129.220000,93753,524288
mitm,mh-classic,40,16490336266968443936,132297946315314195,1,630.260000,1790242,2097152
mitm,mh-classic,40,10905525725756348110,16000682456418926275,1,609.991000,1135995,2097152
mitm,mh-classic,40,10451216379200822465,244725773053885299,1,600.996000,618930,2097152
