attack,scheme,n,initstate,initseq,success,attack_ms,checked,table_entries
brute,mh-classic,4,16490336266968443936,132297946315314195,1,0.001000,14,0
brute,mh-classic,4,10905525725756348110,16000682456418926275,1,0.001000,16,0
brute,mh-classic,4,10451216379200822465,244725773053885299,1,0.000000,12,0
brute,mh-classic,6,16490336266968443936,132297946315314195,1,0.003000,62,0
brute,mh-classic,6,10905525725756348110,16000682456418926275,1,0.002000,32,0
brute,mh-classic,6,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,8,16490336266968443936,132297946315314195,1,0.003000,62,0
brute,mh-classic,8,10905525725756348110,16000682456418926275,1,0.008000,160,0
brute,mh-classic,8,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,10,16490336266968443936,132297946315314195,1,0.015000,318,0
brute,mh-classic,10,10905525725756348110,16000682456418926275,1,0.034000,672,0
brute,mh-classic,10,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,12,16490336266968443936,132297946315314195,1,0.083000,1342,0
brute,mh-classic,12,10905525725756348110,16000682456418926275,1,0.220000,3744,0
brute,mh-classic,12,10451216379200822465,244725773053885299,1,0.003000,60,0
brute,mh-classic,14,16490336266968443936,132297946315314195,1,0.942000,13630,0
brute,mh-classic,14,10905525725756348110,16000682456418926275,1,0.822000,11936,0
brute,mh-classic,14,10451216379200822465,244725773053885299,1,0.529000,8252,0
brute,mh-classic,16,16490336266968443936,132297946315314195,1,2.179000,30014,0
brute,mh-classic,16,10905525725756348110,16000682456418926275,1,1.978000,28320,0
brute,mh-classic,16,10451216379200822465,244725773053885299,1,2.888000,41020,0
brute,mh-classic,18,16490336266968443936,132297946315314195,1,2.241000,30014,0
brute,mh-classic,18,10905525725756348110,16000682456418926275,1,7.356000,93856,0
brute,mh-classic,18,10451216379200822465,244725773053885299,1,3.038000,41020,0
brute,mh-classic,20,16490336266968443936,132297946315314195,1,69.725000,816446,0
brute,mh-classic,20,10905525725756348110,16000682456418926275,1,29.350000,356000,0
brute,mh-classic,20,10451216379200822465,244725773053885299,1,47.572000,565308,0
brute,mh-classic,22,16490336266968443936,132297946315314195,1,256.954000,2913598,0
brute,mh-classic,22,10905525725756348110,16000682456418926275,1,29.514000,356000,0
brute,mh-classic,22,10451216379200822465,244725773053885299,1,234.919000,2662460,0
mitm,mh-classic,4,16490336266968443936,132297946315314195,1,0.002000,2,8
mitm,mh-classic,4,10905525725756348110,16000682456418926275,1,0.002000,4,8
mitm,mh-classic,4,10451216379200822465,244725773053885299,1,0.002000,5,8
mitm,mh-classic,8,16490336266968443936,132297946315314195,1,0.005000,19,32
mitm,mh-classic,8,10905525725756348110,16000682456418926275,1,0.005000,26,32
mitm,mh-classic,8,10451216379200822465,244725773053885299,1,0.005000,17,32
mitm,mh-classic,12,16490336266968443936,132297946315314195,1,0.023000,108,128
mitm,mh-classic,12,10905525725756348110,16000682456418926275,1,0.022000,86,128
mitm,mh-classic,12,10451216379200822465,244725773053885299,1,0.022000,122,128
mitm,mh-classic,16,16490336266968443936,132297946315314195,1,0.078000,339,512
mitm,mh-classic,16,10905525725756348110,16000682456418926275,1,0.078000,285,512
mitm,mh-classic,16,10451216379200822465,244725773053885299,1,0.080000,343,512
mitm,mh-classic,20,16490336266968443936,132297946315314195,1,0.328000,958,2048
mitm,mh-classic,20,10905525725756348110,16000682456418926275,1,0.334000,1225,2048
mitm,mh-classic,20,10451216379200822465,244725773053885299,1,0.362000,1689,2048
mitm,mh-classic,24,16490336266968443936,132297946315314195,1,1.596000,5099,8192
mitm,mh-classic,24,10905525725756348110,16000682456418926275,1,1.563000,7384,8192
mitm,mh-classic,24,10451216379200822465,244725773053885299,1,1.518000,2926,8192
mitm,mh-classic,28,16490336266968443936,132297946315314195,1,7.037000,16541,32768
mitm,mh-classic,28,10905525725756348110,16000682456418926275,1,6.968000,30141,32768
mitm,mh-classic,28,10451216379200822465,244725773053885299,1,6.988000,15715,32768
mitm,mh-classic,32,16490336266968443936,132297946315314195,1,30.545000,86599,131072
mitm,mh-classic,32,10905525725756348110,16000682456418926275,1,31.032000,111738,131072
mitm,mh-classic,32,10451216379200822465,244725773053885299,1,30.119000,59390,131072
mitm,mh-classic,36,16490336266968443936,132297946315314195,1,130.765000,240357,524288
mitm,mh-classic,36,10905525725756348110,16000682456418926275,1,133.451000,318019,524288
mitm,mh-classic,36,10451216379200822465,244725773053885299,1,128.119000,93753,524288
mitm,mh-classic,40,16490336266968443936,132297946315314195,1,675.878000,1790242,2097152
mitm,mh-classic,40,10905525725756348110,16000682456418926275,1,641.108000,1135995,2097152
mitm,mh-classic,40,10451216379200822465,244725773053885299,1,595.407000,618930,2097152
